"name","type","lsa_ha","ca_ha","region","dataset"
"CRANBERRY LAKE","LAKE",4.099998474,161,NA,"ELS"
"LOON LAKE","LAKE",36.3999939,145,NA,"ELS"
"GOOSE LAKE","LAKE",7.899997711,513,NA,"ELS"
"LOON LAKE","LAKE",54.29998779,212,NA,"ELS"
"LOWLAND LAKE","LAKE",5,47,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,34,NA,"ELS"
"ROUND LAKE","LAKE",10.5,101,NA,"ELS"
"LAKE THIRTY","LAKE",30.59999085,484,NA,"ELS"
"BUFF LAKE","LAKE",9.099998474,174,NA,"ELS"
"BASS LAKE","LAKE",11.79999542,54,NA,"ELS"
"CLEAR LAKE","LAKE",10.3999939,36,NA,"ELS"
"OAK LAKE","LAKE",11.69999695,109,NA,"ELS"
"(NO NAME)","NO NAME",5.799999237,36,NA,"ELS"
"LOON LAKE","LAKE",16.5,80,NA,"ELS"
"(NO NAME)","NO NAME",4.599998474,31,NA,"ELS"
"KINNY LAKE","LAKE",4.099998474,18,NA,"ELS"
"MOODY LAKE","LAKE",19.79998779,119,NA,"ELS"
"BRICHER LAKE","LAKE",10.59999847,52,NA,"ELS"
"(NO NAME)","NO NAME",8,70,NA,"ELS"
"LOGGER LAKE","LAKE",9.599998474,21,NA,"ELS"
"(NO NAME)","NO NAME",8.5,70,NA,"ELS"
"SNOWSHOE LAKE","LAKE",17.59999085,212,NA,"ELS"
"LOST LAKE","LAKE",4.399997711,28,NA,"ELS"
"RAINY LAKE","LAKE",5.399997711,28,NA,"ELS"
"LITTLE PINE LAKE","LAKE",4.199996948,13,NA,"ELS"
"MCDONALD LAKE","LAKE",10.69999695,57,NA,"ELS"
"RANIER LAKE","LAKE",34.69998169,104,NA,"ELS"
"MOON LAKE","LAKE",10.29999542,26,NA,"ELS"
"MURPHY LAKE","LAKE",141.6999512,1870,NA,"ELS"
"WASHUSK LAKE #1","LAKE",12.5,420,NA,"ELS"
"SPRING LAKE","LAKE",34.69998169,2942,NA,"ELS"
"BERGEN LAKE","LAKE",29.3999939,922,NA,"ELS"
"WREN LAKE","LAKE",19,161,NA,"ELS"
"PRAIRIE LAKE","LAKE",314.7998047,9161,NA,"ELS"
"LITTLE PINE LAKE","LAKE",128.1999512,34475,NA,"ELS"
"LONG LAKE","LAKE",13.19999695,57,NA,"ELS"
"(NO NAME)","NO NAME",11.8999939,57,NA,"ELS"
"PARLEMEE LAKE","LAKE",7.899997711,41,NA,"ELS"
"GIBSON LAKE","LAKE",37.8999939,184,NA,"ELS"
"TRIPP LAKE","LAKE",18.19999695,329,NA,"ELS"
"DIKE 4&5 FLOWAGE","UNKNOWN",46.09997559,790,NA,"ELS"
"WEST BASS LAKE","LAKE",22,332,NA,"ELS"
"HEADQUARTERS LAKE","LAKE",16.29998779,179,NA,"ELS"
"WINTERGREEN LAKE","LAKE",16.5,83,NA,"ELS"
"JOEL FLOWAGE","UNKNOWN",27.8999939,2201,NA,"ELS"
"MOOSE EAR LAKE","LAKE",8,12012,NA,"ELS"
"SOUTH TWIN LAKE","LAKE",10.09999847,31,NA,"ELS"
"ANDERSON LAKE","LAKE",17.3999939,679,NA,"ELS"
"EATON LAKE","LAKE",8.399993897,127,NA,"ELS"
"JACKSON LAKE","LAKE",10.8999939,246,NA,"ELS"
"CLIFFORD LAKE","LAKE",5.099998474,83,NA,"ELS"
"GINSEL LAKE","LAKE",4.5,44,NA,"ELS"
"SAGE LAKES (LG CENTRAL)","LAKE",7.5,231,NA,"ELS"
"BASS LAKE","LAKE",20.79998779,515,NA,"ELS"
"COMSTOCK LAKE","LAKE",108,5548,NA,"ELS"
"BIG ROUND LAKE","LAKE",413.1999512,5488,NA,"ELS"
"BLUE LAKE","LAKE",10.5,181,NA,"ELS"
"LAKE NINETEEN","LAKE",7.099998474,18,NA,"ELS"
"KELLEYS LAKE","LAKE",7.399997711,67,NA,"ELS"
"LOWER HOLLY LAKE","LAKE",19.19999695,78,NA,"ELS"
"CHIPPANAZIE LAKE","LAKE",23.29998779,2802,NA,"ELS"
"BLACKWOOD LAKE","LAKE",10.8999939,142,NA,"ELS"
"PERCH LAKE","LAKE",11,163,NA,"ELS"
"KUJAWA LAKE","LAKE",5.099998474,73,NA,"ELS"
"NOKAY LAKE","LAKE",280.2998047,3253,NA,"ELS"
"NORTH STAR LAKE","LAKE",417.0998535,1137,NA,"ELS"
"HERON LAKE","LAKE",12.09999847,383,NA,"ELS"
"CRUM LAKE"," ",6.299999237,140,NA,"ELS"
"CALDERWOOD LAKE","LAKE",231,482670,NA,"ELS"
"LAKE CHEOAH","LAKE",234.2999268,416521,NA,"ELS"
"INDIAN BOUNDARY LAKE","LAKE",36.59997559,1116,NA,"ELS"
"ENKA LAKE","LAKE",27.09999085,1528,NA,"ELS"
"LAKE LOGAN","LAKE",35.19998169,8348,NA,"ELS"
"CASHIERS LAKE","LAKE",11,290,NA,"ELS"
"HAMPTON LAKE","LAKE",6.699996948,199,NA,"ELS"
"LUPTIN LAKE","LAKE",18.5,3875,NA,"ELS"
"FAIRY STONE LAKE","LAKE",52.09997559,4913,NA,"ELS"
"(NO NAME)","NO NAME",13.79999542,596,NA,"ELS"
"(NO NAME)","NO NAME",19.69999695,269,NA,"ELS"
"CHETOLA LAKE","LAKE",3.399999619,570,NA,"ELS"
"LAKE IN THE SKY","LAKE",20.69999695,461,NA,"ELS"
"WALTERS LAKE","LAKE",128.5,117153,NA,"ELS"
"FONTANA LAKE","LAKE",4194.796875,407006,NA,"ELS"
"(NO NAME)","NO NAME",8.299995422,904,NA,"ELS"
"NANTAHALA LAKE","LAKE",632.0996094,23401,NA,"ELS"
"APALACHIA LAKE","LAKE",411.8999023,247464,NA,"ELS"
"LAKE OCOEE","LAKE",751.199707,150456,NA,"ELS"
"CONASAUGA LAKE","LAKE",4.799999237,96,NA,"ELS"
"NOTTELY LAKE","LAKE",1649,39966,NA,"ELS"
"LAKE BURTON","LAKE",1035.699219,27343,NA,"ELS"
"LAKE RABUN","LAKE",260.6999512,36483,NA,"ELS"
"CARTERS LAKE","LAKE",1160.699219,95978,NA,"ELS"
"TWIN LAKES (WESTERN)","LAKE",6.199996948,168,NA,"ELS"
"TWIN LAKES (EASTERN)","LAKE",12.19999695,811,NA,"ELS"
"LAKE TAMARACK","LAKE",36.79998779,2085,NA,"ELS"
"SEQUOYAH LAKE","LAKE",17.3999939,339,NA,"ELS"
"SCONTI LAKE","LAKE",10.3999939,1347,NA,"ELS"
"COX LAKE","LAKE",9.699996948,2541,NA,"ELS"
"(NO NAME)","NO NAME",9.699996948,2776,NA,"ELS"
"(NO NAME)","NO NAME",3.799999237,637,NA,"ELS"
"LAKE ADGER","LAKE",148.2999268,34729,NA,"ELS"
"CEDAR CLIFF LAKE","LAKE",76.19995117,20518,NA,"ELS"
"BEAR CREEK RESERVOIR","RESERVOIR",212.1999512,18910,NA,"ELS"
"TANASEE CREEK RESERVOIR","RESERVOIR",21.5,6270,NA,"ELS"
"KANUGA LAKE","LAKE",9.5,407,NA,"ELS"
"LAKE SUMMITT","LAKE",105.5999756,10710,NA,"ELS"
"LAKE SEQUOYAH","LAKE",18.09999085,3699,NA,"ELS"
"LAKE JOCASSEE","LAKE",2245,37988,NA,"ELS"
"PINNACLE LAKE","LAKE",9.599998474,445,NA,"ELS"
"TANKERSLEY LAKE","LAKE",5.599998474,1181,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,111,NA,"ELS"
"YONAH LAKE","LAKE",116.5999756,126053,NA,"ELS"
"TOCCOA RESERVOIR","RESERVOIR",11.8999939,932,NA,"ELS"
"LAKE LOUISE","LAKE",65.19995117,831,NA,"ELS"
"HARPER POND","POND",2.799999237,238,NA,"ELS"
"RUSSELL LAKE","LAKE",36.79998779,1608,NA,"ELS"
"THORPE LAKE","RESERVOIR",574,10062,NA,"ELS"
"HIWASSEE LAKE","RESERVOIR",2728.898438,235006,NA,"ELS"
"BLUE RIDGE LAKE","LAKE",1279.599609,57177,NA,"ELS"
"FAUSETT LAKE","LAKE",11.5,2512,NA,"ELS"
"GRANDVIEW LAKE","LAKE",25.59999085,984,NA,"ELS"
"LAUREL LAKE","LAKE",17,557,NA,"ELS"
"RAVENEL(CULLASAJA)L.","LAKE",8.199996948,337,NA,"ELS"
"SANTEETLAH LAKE","LAKE",1034.5,44848,NA,"ELS"
"THUNDER LAKE","LAKE",19.8999939,150,NA,"ELS"
"WINFIELD SCOTT LAKE","LAKE",5.399997711,914,NA,"ELS"
"TIMBER LAKE","LAKE",22.5,1259,NA,"ELS"
"LAKE JAMES","LAKE",2434.599609,99868,NA,"ELS"
"LAKE LANIER","LAKE",33.79998779,1839,NA,"ELS"
"(NO NAME)","NO NAME",32.5,2885,NA,"ELS"
"(NO NAME)","NO NAME",7,88,NA,"ELS"
"LAWSON LAKE","LAKE",4.299999237,526,NA,"ELS"
"(NO NAME)","NO NAME",6.599998474,207,NA,"ELS"
"WINDER RESERVOIR","RESERVOIR",10.8999939,1551,NA,"ELS"
"LAKE SEAGRAVES","LAKE",9.699996948,627,NA,"ELS"
"ELDER LAKE","LAKE",5.299999237,80,NA,"ELS"
"(NO NAME)","NO NAME",5.199996948,88,NA,"ELS"
"JOELS LAKE","LAKE",9.399993897,145,NA,"ELS"
"GAINES LAKE","LAKE",33.69998169,1241,NA,"ELS"
"(NO NAME)","NO NAME",6.799999237,184,NA,"ELS"
"SHAMROCK LAKE","LAKE",25.59999085,508,NA,"ELS"
"ROCK EAGLE LAKE","LAKE",34.59997559,730,NA,"ELS"
"(NO NAME)","NO NAME",5.099998474,655,NA,"ELS"
"AIKEN POND","POND",9.899993897,218,NA,"ELS"
"HARPS LAKE","LAKE",4.699996948,243,NA,"ELS"
"HARTWELL LAKE","LAKE",20129.5,534138,NA,"ELS"
"RHODHISS LAKE","LAKE",842,284009,NA,"ELS"
"LAKE SPIVEY","LAKE",187.2999268,2955,NA,"ELS"
"STEWARTS LAKE","LAKE",4.699996948,197,NA,"ELS"
"(NO NAME)","NO NAME",5.199996948,181,NA,"ELS"
"(NO NAME)","NO NAME",7.299999237,127,NA,"ELS"
"(NO NAME)","NO NAME",4.899997711,104,NA,"ELS"
"FOREST LAKE","LAKE",8.699996948,256,NA,"ELS"
"FREEMAN LAKE","LAKE",21.5,2238,NA,"ELS"
"LAKE HOUSER","LAKE",9.299995422,285,NA,"ELS"
"LAKE WILLIAM C. BOWEN","LAKE",590.7998047,20974,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,109,NA,"ELS"
"BOYD MILLPOND","POND",75.89996338,57899,NA,"ELS"
"WALKER LAKE","LAKE",5,184,NA,"ELS"
"(NO NAME)","NO NAME",64.69995117,125462,NA,"ELS"
"(NO NAME)","NO NAME",16.8999939,1000,NA,"ELS"
"(NO NAME)","NO NAME",3.799999237,168,NA,"ELS"
"CLAYTOR LAKE","LAKE",21091,551300,NA,"ELS"
"(NO NAME)","NO NAME",5.199996948,404,NA,"ELS"
"SMITH MTN LAKE","LAKE",6866.597656,263675,NA,"ELS"
"LAKE SIDNEY LANIER","LAKE",13726.89844,282913,NA,"ELS"
"(NO NAME)","NO NAME",10.09999847,1246,NA,"ELS"
"CHATUGE LAKE","LAKE",2861.898438,48687,NA,"ELS"
"WOLF CREEK RESERVOIR"," ",2,1404,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,36,NA,"ELS"
"LAKE BLANCHE","LAKE",48.5,290,NA,"ELS"
"SQUARE LAKE","LAKE",7.599998474,461,NA,"ELS"
"OSAGE LAKE","LAKE",9.099998474,31,NA,"ELS"
"OPEN LAKE","LAKE",65.39996338,218,NA,"ELS"
"SPARKLEBERRY LAKE","LAKE",12.09999847,137,NA,"ELS"
"STEVENS LAKE","LAKE",91.69995117,570,NA,"ELS"
"(NO NAME)","NO NAME",131.0999756,697,NA,"ELS"
"CHIPCO LAKE","LAKE",19,67,NA,"ELS"
"(NO NAME)","NO NAME",5.599998474,28,NA,"ELS"
"CROOKED LAKE","LAKE",17,44,NA,"ELS"
"(NO NAME)","NO NAME",4.599998474,16,NA,"ELS"
"PECAN LAKE","LAKE",92.19995117,202,NA,"ELS"
"HOLLY LAKE","LAKE",37.5,1601,NA,"ELS"
"LAKE MARY","LAKE",17.79998779,34,NA,"ELS"
"BIG LAKE","LAKE",54.29998779,236,NA,"ELS"
"WILMA LAKE (EAST)","LAKE",7.099998474,161,NA,"ELS"
"(NO NAME)","NO NAME",6.399997711,23,NA,"ELS"
"(NO NAME)","NO NAME",27.8999939,225,NA,"ELS"
"MARINER LAKE","LAKE",54.29998779,223,NA,"ELS"
"(NO NAME)","NO NAME",6.299999237,34,NA,"ELS"
"(NO NAME)","NO NAME",4.299999237,21,NA,"ELS"
"(NO NAME)","NO NAME",16.19999695,85,NA,"ELS"
"(NO NAME)","NO NAME",26.3999939,109,NA,"ELS"
"HOMESTEAD POND","POND",7.799999237,31,NA,"ELS"
"(NO NAME)","NO NAME",29.19999695,205,NA,"ELS"
"BULLOCK LAKE","LAKE",30,93,NA,"ELS"
"(NO NAME)","NO NAME",10.69999695,150,NA,"ELS"
"LAKE ROSA","LAKE",42.8999939,163,NA,"ELS"
"LAKE DOYLE","LAKE",19.79998779,109,NA,"ELS"
"SELLERS LAKE","LAKE",160.2999268,1233,NA,"ELS"
"ROUND LAKE","LAKE",10.29999542,23,NA,"ELS"
"(NO NAME)","NO NAME",11,54,NA,"ELS"
"BOGGY MARSH","SWAMP",113.6999512,427,NA,"ELS"
"(NO NAME)","NO NAME",5,28,NA,"ELS"
"BLUE POND","POND",80.19995117,438,NA,"ELS"
"CLEAR LAKE","LAKE",15.5,54,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,18,NA,"ELS"
"(NO NAME)","NO NAME",10,26,NA,"ELS"
"(NO NAME)","NO NAME",6.099998474,21,NA,"ELS"
"(NO NAME)","NO NAME",8.899993897,57,NA,"ELS"
"BLACK LAKE","LAKE",9,124,NA,"ELS"
"LONG POND","POND",23.09999085,98,NA,"ELS"
"(NO NAME)","NO NAME",6.199996948,31,NA,"ELS"
"PAYNE LAKE","LAKE",7.899997711,70,NA,"ELS"
"OCHEESEE POND","POND",65.19995117,3978,NA,"ELS"
"TURKEY PEN POND","POND",7,65,NA,"ELS"
"MAGNOLIA LAKE","LAKE",81.39996338,3294,NA,"ELS"
"SAND HILL (LOWRY) LA","LAKE",507.7998047,2732,NA,"ELS"
"WILDCAT LAKE","LAKE",132.5,435,NA,"ELS"
"TOMAHAWK LAKE","LAKE",28.09999085,88,NA,"ELS"
"TROUT LAKE","LAKE",57,347,NA,"ELS"
"LAKE PYTHIAS","LAKE",103.6999512,225,NA,"ELS"
"LAKE BRENTWOOD","LAKE",22.59999085,88,NA,"ELS"
"LAKE VIOLA","LAKE",28.69999695,197,NA,"ELS"
"LAKE GLENADA","LAKE",73.79998779,829,NA,"ELS"
"LAKE ANGELO","LAKE",21.69999695,145,NA,"ELS"
"LAKE LETTA","LAKE",190.6999512,3428,NA,"ELS"
"LAKE SEBRING","LAKE",188,1254,NA,"ELS"
"BONNET LAKE","LAKE",104.7999878,5672,NA,"ELS"
"BASKET LAKE","LAKE",22.09999085,127,NA,"ELS"
"HUCKLEBERRY LAKE","LAKE",47.09997559,303,NA,"ELS"
"WOLF LAKE","LAKE",48,1344,NA,"ELS"
"LAKE CHARLOTTE","LAKE",81.29998779,308,NA,"ELS"
"LAKE JOSEPHINE","LAKE",493.5,12212,NA,"ELS"
"LAKE CARRIE","LAKE",25.79998779,332,NA,"ELS"
"RED WATER LAKE","LAKE",25,363,NA,"ELS"
"NORTHWEST LAKE NELLIE","LAKE",8.799995422,225,NA,"ELS"
"SOUTHEAST LAKE NELLIE","LAKE",11.19999695,225,NA,"ELS"
"LAKE SIRENA","LAKE",60.79998779,308,NA,"ELS"
"MIRROR LAKE","LAKE",37,137,NA,"ELS"
"LAKE ANNIE","LAKE",34.09997559,114,NA,"ELS"
"RED BEACH LAKE","LAKE",134,875,NA,"ELS"
"GRASSY LAKE","LAKE",206.2999268,1194,NA,"ELS"
"LAKE HILL","LAKE",28.19999695,570,NA,"ELS"
"LAKE DAMON","LAKE",107.8999634,347,NA,"ELS"
"LAKE DENTON","LAKE",25.79998779,96,NA,"ELS"
"LAKE LELIA","LAKE",63.79998779,1098,NA,"ELS"
"PIONEER LAKE","LAKE",34.3999939,127,NA,"ELS"
"LAKE HENRY","LAKE",24.79998779,129,NA,"ELS"
"LAKE BYRD","LAKE",19.19999695,80,NA,"ELS"
"LAKE PEARL","LAKE",26.5,88,NA,"ELS"
"BLUE LAKE","LAKE",13.59999847,223,NA,"ELS"
"LITTLE RED WATER LAKE","LAKE",132.2999268,2214,NA,"ELS"
"PERSIMMON LAKE","LAKE",13.69999695,65,NA,"ELS"
"(NO NAME)","NO NAME",22.5,223,NA,"ELS"
"LAKE CREWS","LAKE",24.3999939,158,NA,"ELS"
"LITTLE BONNET LAKE","LAKE",33.59997559,2176,NA,"ELS"
"CENTER LAKE NELLIE","LAKE",16.79998779,225,NA,"ELS"
"LAKE JACKSON","LAKE",1297.399414,3204,NA,"ELS"
"DINNER LAKE","LAKE",152,549,NA,"ELS"
"DEER LAKE","LAKE",11.29999542,93,NA,"ELS"
"LAKE LOTELA","LAKE",323.0998535,2680,NA,"ELS"
"HOG LAKE","LAKE",11.79999542,41,NA,"ELS"
"LAKE SIMMONS","LAKE",8.199996948,137,NA,"ELS"
"LAKE ANOKA","LAKE",17.8999939,412,NA,"ELS"
"SILVER LAKE","LAKE",7.799999237,88,NA,"ELS"
"LAKE ISIS","LAKE",21,215,NA,"ELS"
"LAKE RUTH","LAKE",32.8999939,80,NA,"ELS"
"(NO NAME)","NO NAME",6.399997711,31,NA,"ELS"
"LAKE HIAWATHA","LAKE",16.59999085,2867,NA,"ELS"
"MATTHIS LAKE","LAKE",17.8999939,57,NA,"ELS"
"GREEN POND","POND",11.59999847,54,NA,"ELS"
"LAKE LOU","LAKE",45.5,1696,NA,"ELS"
"MOON LAKE","LAKE",28.8999939,352,NA,"ELS"
"HOLTS LAKE","LAKE",12.59999847,73,NA,"ELS"
"LAKE SHERWOOD","LAKE",71.39996338,316,NA,"ELS"
"GOOSE LAKE","LAKE",13.5,36,NA,"ELS"
"LAKE HELENE","LAKE",19.69999695,70,NA,"ELS"
"(NO NAME)","NO NAME",18.19999695,137,NA,"ELS"
"(NO NAME)","NO NAME",5.899997711,106,NA,"ELS"
"HAMMOCK LAKE","LAKE",10.59999847,282,NA,"ELS"
"GEORGES POND","POND",22.09999085,132,NA,"ELS"
"LAKE STANDISH","LAKE",19.69999695,199,NA,"ELS"
"PRAIRIE LAKE","LAKE",13.8999939,166,NA,"ELS"
"(NO NAME)","NO NAME",4.599998474,31,NA,"ELS"
"BIRD POND","POND",4,52,NA,"ELS"
"(NO NAME)","NO NAME",19.69999695,104,NA,"ELS"
"LAKE BINGHAM","LAKE",6.599998474,34,NA,"ELS"
"MOODY LAKE","LAKE",82.29998779,865,NA,"ELS"
"KEYSTONE LAKE","LAKE",166.5,445,NA,"ELS"
"LAKE SUNSHINE","LAKE",5,57,NA,"ELS"
"SADDLEBAG LAKE","LAKE",116.5,554,NA,"ELS"
"LOFTON PONDS (SOUTH)","POND",10.79999542,137,NA,"ELS"
"LAKE JEFFERY","LAKE",47,394,NA,"ELS"
"(NO NAME)","UNKNOWN",5.699996948,18,NA,"ELS"
"(NO NAME)","NO NAME",17.8999939,158,NA,"ELS"
"LAKE THOMAS","LAKE",22.5,98,NA,"ELS"
"HAVEN WINQUIPIN","UNKNOWN",12.69999695,117,NA,"ELS"
"(NO NAME)","NO NAME",5.699996948,637,NA,"ELS"
"CLEAR LAKE","LAKE",7.199996948,28,NA,"ELS"
"LAKE WOODWARD","LAKE",26.3999939,85,NA,"ELS"
"MOORE LAKE","LAKE",28.19999695,127,NA,"ELS"
"OCEAN POND","POND",722.699707,5541,NA,"ELS"
"CHERRY LAKE","LAKE",194.2999268,347,NA,"ELS"
"CRYSTAL LAKE","LAKE",73.29998779,355,NA,"ELS"
"COMPASS LAKE","LAKE",32.8999939,153,NA,"ELS"
"LAKE LUCERNE","LAKE",16.59999085,67,NA,"ELS"
"NOBLE LAKE","DRAINAGE",1.7,10.36,NA,"WLS"
"LOST LAKE","DRAINAGE",4.1,93.24,NA,"WLS"
"LEOPOLD LAKE","DRAINAGE",4.1,36.26,NA,"WLS"
"(NO NAME)","SEEPAGE",2,31.08,NA,"WLS"
"(NO NAME)","DRAINAGE",3.6,33.67,NA,"WLS"
"MARY LAKE","DRAINAGE",26,297.85,NA,"WLS"
"(NO NAME)","DRAINAGE",29.8,619.01,NA,"WLS"
"LAKE VERNON","DRAINAGE",26.1,2960.37,NA,"WLS"
"HOOVER LAKES (NE)","DRAINAGE",2.5,629.37,NA,"WLS"
"ROOSEVELT LAKE","DRAINAGE",25,440.3,NA,"WLS"
"KIDNEY LAKE","DRAINAGE",5.9,217.56,NA,"WLS"
"BINGAMAN LAKE","DRAINAGE",5.2,98.42,NA,"WLS"
"(NO NAME)","DRAINAGE",6.3,1020.46,NA,"WLS"
"NYDIVER LAKES (MIDDLE)","DRAINAGE",3.4,95.83,NA,"WLS"
"ICEBERG LAKE","DRAINAGE",15.8,186.48,NA,"WLS"
"WALTON LAKE","DRAINAGE",1.5,51.8,NA,"WLS"
"LAKE WIT-SO-NAH-PAH","DRAINAGE",1.9,414.4,NA,"WLS"
"CHIEF LAKE","DRAINAGE",7.2,64.75,NA,"WLS"
"NEIL LAKE","DRAINAGE",1.8,90.65,NA,"WLS"
"VEE LAKE","DRAINAGE",20.8,383.32,NA,"WLS"
"(NO NAME)","DRAINAGE",1.5,36.26,NA,"WLS"
"MERRIAM LAKE","DRAINAGE",13.6,624.19,NA,"WLS"
"WAHOO LAKES (NW)","DRAINAGE",3.6,220.15,NA,"WLS"
"HEATHER LAKE","DRAINAGE",3,44.03,NA,"WLS"
"(NO NAME)","DRAINAGE",4.7,64.75,NA,"WLS"
"UPPER LAMARCK LAKE","DRAINAGE",16.8,432.53,NA,"WLS"
"BIG PINE LAKES(SIXTH L.)","DRAINAGE",3.4,168.35,NA,"WLS"
"(NO NAME)","DRAINAGE",4.3,93.24,NA,"WLS"
"(NO NAME)","SEEPAGE",1.7,28.49,NA,"WLS"
"(NO NAME)","SEEPAGE",12.1,147.63,NA,"WLS"
"HORSESHOE LAKES (MIDDLE)","DRAINAGE",3,248.64,NA,"WLS"
"SWAMP LAKES (WESTERN)","DRAINAGE",6.7,113.96,NA,"WLS"
"(NO NAME)","DRAINAGE",2.5,155.4,NA,"WLS"
"(NO NAME)","DRAINAGE",9.5,119.14,NA,"WLS"
"(NO NAME)","DRAINAGE",2.1,49.21,NA,"WLS"
"(NO NAME)","DRAINAGE",8.4,370.37,NA,"WLS"
"(NO NAME)","DRAINAGE",2.6,41.44,NA,"WLS"
"(NO NAME)","DRAINAGE",9.4,660.45,NA,"WLS"
"(NO NAME)","DRAINAGE",1.8,176.12,NA,"WLS"
"(NO NAME)","DRAINAGE",2.6,59.57,NA,"WLS"
"(NO NAME)","DRAINAGE",3.8,194.25,NA,"WLS"
"BIG FIVE LAKES (SMALL N)","DRAINAGE",3.4,28.49,NA,"WLS"
"LONG LAKE","SEEPAGE",3.5,287.49,NA,"WLS"
"CANYON CREEK LAKES(NORTH)","DRAINAGE",12.1,1030.82,NA,"WLS"
"LAKE DOROTHY","DRAINAGE",61,398.86,NA,"WLS"
"BIG PINE LAKES(SECOND L.)","DRAINAGE",12,1890.7,NA,"WLS"
"(NO NAME)","DRAINAGE",5.8,235.69,NA,"WLS"
"HORTON LAKE","DRAINAGE",7.1,1012.69,NA,"WLS"
"(NO NAME)","DRAINAGE",1.7,59.57,NA,"WLS"
"(NO NAME)","DRAINAGE",5.2,88.06,NA,"WLS"
"LITTLE SOUTH FORK LAKE","DRAINAGE",3.7,163.17,NA,"WLS"
"COW MEADOW LAKE","DRAINAGE",7.4,3693.34,NA,"WLS"
"VOGELSANG LAKE","DRAINAGE",9.1,163.17,NA,"WLS"
"WRIGHT LAKES(NW)","DRAINAGE",2,25.9,NA,"WLS"
"SUGAR PINE LAKE","DRAINAGE",2.9,129.5,NA,"WLS"
"BLACK LAKE","SEEPAGE",5,489.51,NA,"WLS"
"GLEN LAKE","SEEPAGE",3.6,98.42,NA,"WLS"
"HIDDEN LAKES (EASTERN)","DRAINAGE",1.7,165.76,NA,"WLS"
"SILVER LAKE","SEEPAGE",40,525.77,NA,"WLS"
"SMITH LAKE","DRAINAGE",9.3,165.76,NA,"WLS"
"GOOSE LAKE","SEEPAGE",12.4,36.26,NA,"WLS"
"UPPER SARDINE LAKE","DRAINAGE",23.7,349.65,NA,"WLS"
"BOWMAN LAKE","RESERVOIR",308.2,7415.17,NA,"WLS"
"LOWER ROCK LAKE","RESERVOIR",3.1,75.11,NA,"WLS"
"FRENCH LAKE","RESERVOIR",144.2,1297.59,NA,"WLS"
"BLUE LAKE","DRAINAGE",25.5,69.93,NA,"WLS"
"S.P. LAKES (SE)","CLOSED",1.8,38.85,NA,"WLS"
"CASCADE LAKES (WESTERN)","RESERVOIR",13.7,261.59,NA,"WLS"
"ROCKBOUND LAKE","RESERVOIR",48.9,8093.75,NA,"WLS"
"FORNI LAKE","DRAINAGE",2.3,80.29,NA,"WLS"
"LAKE LOIS","DRAINAGE",9.7,132.09,NA,"WLS"
"DICKS LAKE","DRAINAGE",25.4,199.43,NA,"WLS"
"GROUSE LAKE","DRAINAGE",1.6,126.91,NA,"WLS"
"LAKE ALOHA","DRAINAGE",261.5,901.32,NA,"WLS"
"ANGORA LAKES (SW)","DRAINAGE",5.8,85.47,NA,"WLS"
"ROPI LAKE","DRAINAGE",8.5,603.47,NA,"WLS"
"ROUND LAKE","DRAINAGE",17.4,510.23,NA,"WLS"
"FROG LAKE","SEEPAGE",2.7,10.36,NA,"WLS"
"LOST LAKES (EAST)","DRAINAGE",6.6,25.9,NA,"WLS"
"SUMMIT LAKE","DRAINAGE",3.5,10.36,NA,"WLS"
"SUMMIT LAKE","DRAINAGE",6.1,23.31,NA,"WLS"
"STAR LAKES (NORTH)","DRAINAGE",1.7,44.03,NA,"WLS"
"BARE ISLAND LAKE","DRAINAGE",3.9,25.9,NA,"WLS"
"MIRROR LAKE","DRAINAGE",2.4,46.62,NA,"WLS"
"LITTLE LAKE","DRAINAGE",4.6,163.17,NA,"WLS"
"MUD LAKES (EASTERN)","DRAINAGE",1.7,147.63,NA,"WLS"
"LITTLE SPANISH LAKE","SEEPAGE",1.9,67.34,NA,"WLS"
"HOCKETT LAKES (CENTER)","SEEPAGE",2.4,85.47,NA,"WLS"
"LOST LAKE","DRAINAGE",3.4,77.7,NA,"WLS"
"BUCK LAKE","DRAINAGE",2.3,31.08,NA,"WLS"
"CUDDIHY LAKES (LG.SW)","SEEPAGE",2.7,28.49,NA,"WLS"
"BIG ELK LAKE","DRAINAGE",1.8,18.13,NA,"WLS"
"LOWER WRIGHT LAKE","DRAINAGE",9.4,85.47,NA,"WLS"
"LAKE STERLING","RESERVOIR",41.3,269.36,NA,"WLS"
"UNION RESERVOIR","DRAINAGE",73.9,3672.62,NA,"WLS"
"DUCK LAKE","SEEPAGE",1.9,59.57,NA,"WLS"
"CHIQUITO LAKE","DRAINAGE",5.3,406.63,NA,"WLS"
"LONG GULTCH LAKE","DRAINAGE",7.5,69.93,NA,"WLS"
"EMIGRANT LAKE","DRAINAGE",9.3,116.55,NA,"WLS"
"LONG LAKE","DRAINAGE",8.3,59.57,NA,"WLS"
"FONTANILLIS LAKE","DRAINAGE",10.7,222.74,NA,"WLS"
"DEVILS PUNCHBOWL","DRAINAGE",5.8,75.11,NA,"WLS"
